Código,DEPARTAMENTOS,Población Menor 1 año (Meta Programática),BCG RECIEN NACIDO (HASTA 29 DÍAS) + MENOR UN AÑO (A PARTIR DE 30 DIAS HASTA 11 MESES 29 DIAS) Dosis Unica,%,HEPATITIS B RECIEN NACIDO (HASTA 29 DÍAS) RECIEN NACIDO (Primeras 12 Horas) D. Unica,%,HEPATITIS B RECIEN NACIDO (HASTA 29 DÍAS) RECIEN NACIDO (Despues de las Primeras 12 Horas) D. Unica,%,HB RECIEN NACIDO (HASTA 29 DÍAS) (Primeras 12 Horas)+ Despues de las primeras 12 horas D. Unica,%,ANTIPOLIO INACTIVADA (VIP) PARENTERAL <  DE 1 AÑO 1ras. Dosis,%,VOP <DE1 AÑO + VIP <1AÑO 3as 3.Dosis,%,PENTA MENOR DE UN AÑO 1ras. Dosis,%,PENTA MENOR DE UN AÑO 2das. Dosis,%,PENTA MENOR DE UN AÑO 3ras. Dosis,%,ROTAVIRUS DE 2 A 3 MESES Y 21 DIAS 1ra Dosis,%,ROTAVIRUS DE 4 A 11 MESES Y 29 DIAS 2da Dosis,%,FLU DE 6 MESES A 11 MESES 1ra Dosis,%,FLU DE 6 MESES A 11 MESES 2da Dosis,%,Neumo (2 a 11 Meses 29 Dias) 1ra Dosis,%,Neumo (2 a 11 Meses 29 Dias) 2da Dosis,%,Población de 1 Año (Meta Programática),SRP (T.V.) DE UN AÑO U.Dósis,%,VARICELA DE 1 AÑO 1a U.Dósis,%,HA 1 AÑO U. Dósis,%,F.A. 1 AÑO U.Dósis,%,Neumo de (12 meses a 23 Meses) REF.,%,Neumo de (12-23 Meses) 1ra Dosis,%,Neumo de (12-23 Meses) 2da Dosis,Neumo de (24- 35 Meses) Dosis Unica,VOP Al año de la 3ra Dosis 1er. Ref.,%,DPT Al año de la 3ra Dosis 1er. Ref.,%,Población 5 años Meta Programática),VOP 5 AÑOS 2do. Ref.,%,DPT 5 AÑOS 2do. Ref.,%,SRP (T.V.) 5 AÑOS Dosis Ref.,%,VARICELA DE 5 AÑOS U. Dósis,%,FLU DE 18 A 40 AÑOS UNICA UNICA,FLU DE 41 A 59 AÑOS UNICA UNICA,Población > de 60 años (DANE) 30%,FLU DE 60 AÑOS Y MAS UNICA,%,FLU Gestantes a partir de la semana 14 UNICA,%,TdaP ACELULAR GESTANTES DE 10 AÑOS Y MAS U. D. C/ embarazo,%,VPH Niñas de 9 años Pob. VPH Niñas de 9 años,VPH 1a Dosis,% 1a Dosis,VPH 2a Dosis,% 2da Dosis,REGION
18,CAQUETA, 7487 ,7160,95.60,5767,77.00,1239,16.50,7006,93.60,7173,95.80,6798,90.80,7172,95.80,7003,93.50,6801,90.80,6814,91.00,6735,90.00,6216,83.00,4625,61.80,7187,96.00,7009,93.60, 7495 ,7033,93.8,7042,94.00,7049,94.00,7293,97.30,6919,92.30,65,0.87,108,73,6416,85.60,6418,85.60,8021,6834, 85.2 ,6835, 85.2 ,6896, 86.0 ,2600, 64.8 ,4060,3662,13446,9116,67.8,5212, 69.6 ,5931, 79.2 ,3889,1605, 41.3 ,457, 11.8 ,AMAZONIA
85,CASANARE, 6513 ,6365,97.70,6261,96.10,32,0.50,6293,96.60,6298,96.70,6287,96.50,6298,96.70,6311,96.90,6288,96.50,6277,96.40,6389,98.10,5603,86.00,4681,71.90,6364,97.70,6375,97.90, 6661 ,6460,97.0,6440,96.70,6477,97.20,6625,99.50,6455,96.90,13,0.20,14,26,6461,97.00,6463,97.00,7297,7027, 96.3 ,6980, 95.7 ,7017, 96.2 ,2721, 74.6 ,1119,1364,9326,7543,80.9,4833, 74.2 ,5219, 80.1 ,3345,1142, 34.1 ,330, 9.9 ,LLANOS
19,CAUCA, 21088 ,15193,72.00,13267,62.90,1602,7.60,14869,70.50,18493,87.70,19069,90.40,18480,87.60,18534,87.90,19046,90.30,18103,85.80,18311,86.80,17887,84.80,14151,67.10,18571,88.10,18645,88.40, 22008 ,19923,90.5,18926,86.00,19551,88.80,18985,86.30,19801,90.00,74,0.34,106,133,19042,86.50,18961,86.20,22702,20256, 89.2 ,20182, 88.9 ,20275, 89.3 ,7286, 64.2 ,4398,10070,50150,47460,94.6,15052, 71.4 ,16038, 76.1 ,10882,3735, 34.3 ,916, 8.4 ,PACIFICO
20,CESAR, 22036 ,21041,95.50,19987,90.70,400,1.80,20387,92.50,23669,107.40,22343,101.40,23664,107.40,23274,105.60,22352,101.40,22786,103.40,22531,102.20,19771,89.70,15155,68.80,23803,108.00,23297,105.70, 22925 ,22649,98.8,22425,97.80,22669,98.90,21348,93.10,22311,97.30,242,1.06,396,397,20832,90.90,20848,90.90,24608,21523, 87.5 ,21488, 87.3 ,21628, 87.9 ,8558, 69.6 ,4157,8027,30611,30443,99.5,17623, 80.0 ,19301, 87.6 ,10009,2737, 27.3 ,747, 7.5 ,CARIBE
27,CHOCO, 10459 ,8314,79.50,4408,42.10,1907,18.20,6315,60.40,9854,94.20,8663,82.80,9851,94.20,9321,89.10,8666,82.90,7965,76.20,8008,76.60,8992,86.00,5455,52.20,9867,94.30,9311,89.00, 11791 ,10158,86.2,10124,85.90,10154,86.10,10426,88.40,9746,82.70,183,1.55,588,87,7136,60.50,7137,60.50,12901,8208, 63.6 ,8207, 63.6 ,8280, 64.2 ,2922, 45.3 ,8196,3926,11857,7854,66.2,6098, 58.3 ,6101, 58.3 ,5464,1480, 27.1 ,422, 7.7 ,PACIFICO
23,CORDOBA, 30290 ,24127,79.70,23529,77.70,418,1.40,23947,79.10,25996,85.80,26349,87.00,26006,85.90,25861,85.40,26363,87.00,25486,84.10,25460,84.10,24490,80.90,18760,61.90,26085,86.10,25973,85.70, 30629 ,27134,88.6,26562,86.70,27083,88.40,26749,87.30,27091,88.40,94,0.31,151,248,26710,87.20,26715,87.20,31706,27099, 85.5 ,27041, 85.3 ,27114, 85.5 ,9979, 62.9 ,12498,9685,56116,24014,42.8,21026, 69.4 ,21312, 70.4 ,15629,3990, 25.5 ,848, 5.4 ,CARIBE
25,CUNDINAMARCA, 33896 ,19095,56.30,18980,56.00,39,0.10,19019,56.10,31080,91.70,32898,97.10,31119,91.80,31818,93.90,32913,97.10,30722,90.60,31432,92.70,27353,80.70,21915,64.70,31372,92.60,31894,94.10, 35671 ,34486,96.7,34351,96.30,34576,96.90,32166,90.20,33934,95.10,528,1.48,370,1289,32612,91.40,32705,91.70,37992,36125, 95.1 ,35918, 94.5 ,36238, 95.4 ,12303, 64.8 ,15877,20286,102371,77880,76.1,22994, 67.8 ,24742, 73.0 ,21415,5220, 24.4 ,1290, 6.0 ,ANDINA
94,GUAINIA, 802 ,991,123.60,385,48.00,421,52.50,806,100.50,1029,128.30,874,109.00,1029,128.30,944,117.70,876,109.20,841,104.90,802,100.00,508,63.30,306,38.20,1042,129.90,937,116.80, 970 ,954,98.4,957,98.70,971,100.10,955,98.50,862,88.90,42,4.33,83,78,689,71.00,693,71.40,902,812, 90.0 ,816, 90.5 ,830, 92.0 ,251, 55.7 ,757,837,926,1175,126.9,436, 54.4 ,564, 70.3 ,484,242, 50.0 ,34, 7.0 ,AMAZONIA
95,GUAVIARE, 1316 ,1311,99.60,1233,93.70,53,4.00,1286,97.70,1381,104.90,1354,102.90,1381,104.90,1395,106.00,1354,102.90,1320,100.30,1347,102.40,1198,91.00,910,69.10,1382,105.00,1401,106.50, 1328 ,1346,101.4,1312,98.80,1344,101.20,1372,103.30,1342,101.10,3,0.23,9,3,1239,93.30,1239,93.30,1604,1254, 78.2 ,1255, 78.2 ,1252, 78.1 ,423, 52.7 ,336,466,2822,1353,47.9,858, 65.2 ,1076, 81.8 ,740,355, 48.0 ,110, 14.9 ,AMAZONIA
41,HUILA, 19108 ,17681,92.50,16704,87.40,941,4.90,17645,92.30,17348,90.80,17640,92.30,17352,90.80,17400,91.10,17637,92.30,17266,90.40,17281,90.40,15492,81.10,12358,64.70,17453,91.30,17466,91.40, 19740 ,18370,93.1,18326,92.80,18415,93.30,17873,90.50,18288,92.60,70,0.35,76,128,18084,91.60,18084,91.60,20558,19364, 94.2 ,19369, 94.2 ,19415, 94.4 ,7772, 75.6 ,5037,9194,39383,35606,90.4,14178, 74.2 ,15668, 82.0 ,9964,4154, 41.7 ,1256, 12.6 ,ANDINA
44,LA GUAJIRA, 20021 ,22126,110.50,18693,93.40,1690,8.40,20383,101.80,22517,112.50,19161,95.70,22582,112.80,20889,104.30,19166,95.70,19470,97.20,18796,93.90,18603,92.90,12162,60.70,22632,113.00,20633,103.10, 21194 ,20990,99.0,20844,98.30,21049,99.30,15299,72.20,19778,93.30,720,3.40,873,2293,15454,72.90,15298,72.20,22189,18534, 83.5 ,18237, 82.2 ,18464, 83.2 ,2700, 24.3 ,8710,5466,24740,8073,32.6,11445, 57.2 ,14541, 72.6 ,8009,2529, 31.6 ,494, 6.2 ,CARIBE
47,MAGDALENA, 16542 ,12483,75.50,11684,70.60,425,2.60,12109,73.20,16254,98.30,15460,93.50,16411,99.20,16147,97.60,15691,94.90,15741,95.20,15548,94.00,13352,80.70,10276,62.10,16321,98.70,16043,97.00, 17244 ,16138,93.6,16025,92.90,16130,93.50,16442,95.30,15985,92.70,181,1.05,213,408,15067,87.40,15169,88.00,18145,15642, 86.2 ,15629, 86.1 ,15439, 85.1 ,5250, 57.9 ,6244,5111,25762,11737,45.6,12288, 74.3 ,12527, 75.7 ,7950,2719, 34.2 ,608, 7.6 ,CARIBE
47001,SANTA MARTA, 8754 ,9280,106.00,8722,99.60,473,5.40,9195,105.00,9421,107.60,8358,95.50,9376,107.10,8924,101.90,8310,94.90,8829,100.90,8475,96.80,7086,80.90,4883,55.80,9526,108.80,8941,102.10, 8761 ,8275,94.5,8527,97.30,8590,98.00,7389,84.30,8360,95.40,168,1.92,144,376,7260,82.90,7377,84.20,9365,7853, 83.9 ,7685, 82.1 ,7515, 80.2 ,2267, 48.4 ,2433,3700,15498,9235,59.6,5718, 65.3 ,6830, 78.0 ,4490,859, 19.1 ,118, 2.6 ,CARIBE
50,META, 15295 ,15102,98.70,15155,99.10,33,0.20,15188,99.30,14394,94.10,14082,92.10,14435,94.40,14303,93.50,14077,92.00,14078,92.00,13945,91.20,12083,79.00,7713,50.40,14628,95.60,14355,93.90, 15688 ,15009,95.7,14839,94.60,14869,94.80,15142,96.50,14722,93.80,149,0.95,150,128,13815,88.10,13875,88.40,16814,14841, 88.3 ,14914, 88.7 ,14845, 88.3 ,5365, 63.8 ,10972,7758,31346,20213,64.5,10789, 70.5 ,12065, 78.9 ,8487,3036, 35.8 ,744, 8.8 ,LLANOS
52,NARIÑO, 20024 ,17141,85.60,15689,78.40,1100,5.50,16789,83.80,17444,87.10,17243,86.10,17447,87.10,17388,86.80,17226,86.00,16936,84.60,17033,85.10,15156,75.70,12429,62.10,17497,87.40,17421,87.00, 20729 ,18356,88.6,18355,88.50,18411,88.80,17366,83.80,18249,88.00,89,0.43,182,204,17391,83.90,17389,83.90,22304,19070, 85.5 ,19069, 85.5 ,19160, 85.9 ,8172, 73.3 ,5017,9264,62101,67421,108.6,13686, 68.3 ,14895, 74.4 ,13201,7053, 53.4 ,4215, 31.9 ,PACIFICO
54,NORTE DE SANTANDER, 22545 ,19759,87.60,19431,86.20,136,0.60,19567,86.80,23151,102.70,22442,99.50,23170,102.80,22572,100.10,22524,99.90,22251,98.70,21845,96.90,21325,94.60,14707,65.20,23788,105.50,22701,100.70, 22922 ,22433,97.9,19185,83.70,22461,98.00,24433,106.60,21293,92.90,582,2.54,553,553,18581,81.10,18574,81.00,23003,20368, 88.5 ,20290, 88.2 ,20319, 88.3 ,7331, 63.7 ,14297,13753,48341,51357,106.2,15959, 70.8 ,17151, 76.1 ,11287,3218, 28.5 ,954, 8.5 ,ANDINA
86,PUTUMAYO, 4724 ,4108,87.00,3802,80.50,215,4.60,4017,85.00,4633,98.10,4629,98.00,4631,98.00,4683,99.10,4632,98.10,4505,95.40,4577,96.90,2754,58.30,2299,48.70,4664,98.70,4682,99.10, 4982 ,4785,96.0,4763,95.60,4820,96.70,4932,99.00,4715,94.60,39,0.78,51,70,4578,91.90,4579,91.90,5461,4927, 90.2 ,4985, 91.3 ,5000, 91.6 ,1858, 68.0 ,547,1468,8818,9035,102.5,2955, 62.6 ,3769, 79.8 ,2820,1450, 51.4 ,592, 21.0 ,AMAZONIA
63,QUINDIO, 5600 ,5454,97.40,4848,86.60,593,10.60,5441,97.20,5186,92.60,5177,92.40,5174,92.40,5220,93.20,5171,92.30,5209,93.00,5283,94.30,3904,69.70,3514,62.80,5326,95.10,5282,94.30, 5784 ,5523,95.5,5491,94.90,5519,95.40,5492,95.00,5463,94.50,17,0.29,19,39,5478,94.70,5483,94.80,6398,5740, 89.7 ,5698, 89.1 ,5695, 89.0 ,2290, 71.6 ,3984,6535,26909,23310,86.6,3992, 71.3 ,4881, 87.2 ,3791,1496, 39.5 ,546, 14.4 ,ANDINA
66,RISARALDA, 10258 ,10691,104.20,10161,99.10,410,4.00,10571,103.10,10046,97.90,10122,98.70,10061,98.10,10058,98.10,10130,98.80,9823,95.80,9814,95.70,7915,77.20,6161,60.10,10151,99.00,10089,98.40, 10714 ,10612,99.0,10914,101.90,10946,102.20,10145,94.70,10407,97.10,237,2.21,179,326,10540,98.40,10614,99.10,12356,10950, 88.6 ,10946, 88.6 ,11065, 89.6 ,4029, 65.2 ,5073,10274,44520,39890,89.6,6518, 63.5 ,9006, 87.8 ,6910,2062, 29.8 ,645, 9.3 ,ANDINA
88,SAN_ANDRES_ISLA, 853 ,733,85.90,443,51.90,288,33.80,731,85.70,761,89.20,768,90.00,762,89.30,768,90.00,762,89.30,750,87.90,759,89.00,528,61.90,437,51.20,765,89.70,769,90.20, 871 ,788,90.5,781,89.70,788,90.50,697,80.00,785,90.10,1,0.11,2,2,717,82.30,720,82.70,922,786, 85.2 ,785, 85.1 ,785, 85.1 ,320, 69.4 ,1454,1430,3063,1184,38.7,540, 63.3 ,697, 81.7 ,440,109, 24.8 ,27, 6.1 ,CARIBE
68,SANTANDER, 30892 ,25909,83.90,25807,83.50,188,0.60,25995,84.10,27092,87.70,26666,86.30,27064,87.60,26643,86.20,26698,86.40,26553,86.00,26380,85.40,25628,83.00,20431,66.10,27201,88.10,26730,86.50, 31319 ,27967,89.3,28119,89.80,28193,90.00,27003,86.20,27823,88.80,259,0.83,212,330,27024,86.30,26946,86.00,32843,27991, 85.2 ,27703, 84.3 ,27894, 84.9 ,8560, 52.1 ,9736,10466,85600,66532,77.7,20387, 66.0 ,22440, 72.6 ,15522,4405, 28.4 ,1388, 8.9 ,ANDINA
70,SUCRE, 14028 ,14046,100.10,12306,87.70,1756,12.50,14062,100.20,14500,103.40,14332,102.20,14498,103.40,14522,103.50,14327,102.10,14195,101.20,14256,101.60,10605,75.60,9839,70.10,14524,103.50,14544,103.70, 14828 ,14824,100.0,14654,98.80,14845,100.10,14882,100.40,14818,99.90,25,0.17,55,74,14789,99.70,14794,99.80,16825,14897, 88.5 ,14912, 88.6 ,14911, 88.6 ,6343, 75.4 ,8428,5882,30602,23103,75.5,11633, 82.9 ,12626, 90.0 ,7967,2164, 27.2 ,773, 9.7 ,CARIBE
73,TOLIMA, 17210 ,14521,84.40,11321,65.80,3027,17.60,14348,83.40,16107,93.60,16283,94.60,16126,93.70,16073,93.40,16267,94.50,15964,92.80,16041,93.20,15204,88.30,11217,65.20,16177,94.00,16184,94.00, 17543 ,17072,97.3,17010,97.00,17116,97.60,16729,95.40,17054,97.20,70,0.40,59,141,16737,95.40,16880,96.20,19419,17476, 90.0 ,17459, 89.9 ,17524, 90.2 ,6490, 66.8 ,14069,9932,62277,39520,63.5,11274, 65.5 ,13157, 76.4 ,11203,3496, 31.2 ,1001, 8.9 ,ANDINA
76,VALLE_DEL_CAUCA, 51369 ,44911,87.40,44258,86.20,647,1.30,44905,87.40,51437,100.10,51145,99.60,51244,99.80,51168,99.60,51262,99.80,50771,98.80,50820,98.90,44276,86.20,36326,70.70,51228,99.70,51039,99.40, 52931 ,52454,99.1,52255,98.70,52209,98.60,50974,96.30,51927,98.10,359,0.68,194,1057,51210,96.70,51031,96.40,55169,53306, 96.6 ,53660, 97.3 ,52659, 95.5 ,23167, 84.0 ,58213,47544,184481,110206,59.7,36045, 70.2 ,38612, 75.2 ,27948,15102, 54.0 ,5978, 21.4 ,PACIFICO
76109,BUENAVENTURA, 4932 ,4192,85.00,3690,74.80,471,9.50,4161,84.40,4337,87.90,3815,77.40,4342,88.00,4114,83.40,3820,77.50,3906,79.20,3781,76.70,3394,68.80,2400,48.70,4314,87.50,4044,82.00, 4932 ,4202,85.2,4013,81.40,4223,85.60,3097,62.80,4035,81.80,127,2.58,178,222,3208,65.00,3192,64.70,5799,3863, 66.6 ,3811, 65.7 ,3789, 65.3 ,973, 33.6 ,6831,4144,12123,3694,30.5,3285, 66.6 ,3428, 69.5 ,3373,778, 23.1 ,98, 2.9 ,PACIFICO
97,VAUPES, 789 ,760,96.30,292,37.00,307,38.90,599,75.90,695,88.10,587,74.40,683,86.60,662,83.90,605,76.70,644,81.60,597,75.70,550,69.70,373,47.30,664,84.20,641,81.20, 817 ,735,90.0,741,90.70,743,90.90,745,91.20,740,90.60,56,6.85,18,36,526,64.40,523,64.00,785,603, 76.8 ,604, 76.9 ,595, 75.8 ,192, 48.9 ,1756,684,1138,861,75.7,415, 52.6 ,670, 84.9 ,361,159, 44.0 ,52, 14.4 ,AMAZONIA
99,VICHADA, 1773 ,1527,86.10,779,43.90,179,10.10,958,54.00,1986,112.00,1208,68.10,1958,110.40,1664,93.90,1223,69.00,1354,76.40,1248,70.40,1097,61.90,682,38.50,2025,114.20,1718,96.90, 1827 ,1701,93.1,1593,87.20,1541,84.30,1741,95.30,1360,74.40,148,8.10,248,172,1096,60.00,1087,59.50,1876,1283, 68.4 ,1286, 68.6 ,1310, 69.8 ,346, 36.9 ,568,319,1739,1254,72.1,682, 38.5 ,974, 54.9 ,711,239, 33.6 ,38, 5.3 ,LLANOS
